CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Year (2),Member ID: Year (2),Notes: Year (2),DIM: Age (9),Member ID: Age (9),Notes: Age (9),DIM: Sex (3),Member ID: Sex (3),Notes: Sex (3),DIM: Income sources and taxes (16),Member ID: Income sources and taxes (16),Notes: Income sources and taxes (16),Dim: Income statistics (5A): Member ID: [1]: Total - Population aged 15 years and over,Dim: Income statistics (5A): Member ID: [2]: With an amount,Dim: Income statistics (5A): Member ID: [3]: Percentage with an amount (%),Dim: Income statistics (5A): Member ID: [4]: Average amount ($) (Note: 19),Dim: Income statistics (5A): Member ID: [5]: Aggregate amount ($'000)
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Child benefits,13,15,307320,2290,0.7,5368,12293
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Other government transfers,14,16,307320,181805,59.2,769,139888
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,After-tax income,15,17,307320,241960,78.7,13419,3246883
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Total - Sex,1,,Income taxes,16,18,307320,64320,20.9,3251,209117
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Total income,1,3,157830,123015,77.9,15253,1876402
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Market income,2,4,157830,109620,69.5,16193,1775029
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Employment income,3,5,157835,100580,63.7,15162,1525036
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,"Wages, salaries and commissions",4,6,157830,97680,61.9,14960,1461242
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Net self-employment income,5,7,157830,7920,5,8045,63714
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Investment income,6,8,157835,15825,10,7389,116895
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Private retirement income,7,9,157835,105,0.1,3508,368
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Market income not included elsewhere,8,10,157830,32375,20.5,4103,132842
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Government transfers,9,11,157830,95145,60.3,1065,101309
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,157830,10,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,157830,2425,1.5,2894,7003
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Employment Insurance (EI) benefits,12,14,157830,4015,2.5,4702,18878
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Child benefits,13,15,157835,50,0,5043,277
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Other government transfers,14,16,157835,93410,59.2,805,75157
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,After-tax income,15,17,157830,123035,78,14136,1739209
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Male,2,,Income taxes,16,18,157830,37425,23.7,3667,137213
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Total income,1,3,149485,118915,79.5,13283,1579579
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Market income,2,4,149490,107825,72.1,13786,1486363
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Employment income,3,5,149490,99795,66.8,12145,1212060
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,"Wages, salaries and commissions",4,6,149490,97685,65.3,11952,1167507
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Net self-employment income,5,7,149485,6975,4.7,6388,44555
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Investment income,6,8,149490,16370,11,7538,123396
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Private retirement income,7,9,149490,80,0.1,1936,165
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Market income not included elsewhere,8,10,149490,36300,24.3,4153,150791
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Government transfers,9,11,149490,90135,60.3,1034,93219
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,149485,0,0,0,0
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,149490,2490,1.7,2829,7045
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Employment Insurance (EI) benefits,12,14,149485,1925,1.3,4886,9429
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Child benefits,13,15,149490,2235,1.5,5376,12015
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Other government transfers,14,16,149485,88390,59.1,732,64730
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,After-tax income,15,17,149490,118925,79.6,12678,1507677
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,15 to 24 years,2,,Female,3,,Income taxes,16,18,149490,26895,18,2673,71901
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Total income,1,3,1392440,1373485,98.6,53342,73263782
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Market income,2,4,1392440,1270215,91.2,55039,69910869
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Employment income,3,5,1392440,1164430,83.6,53559,62365445
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,"Wages, salaries and commissions",4,6,1392440,1053855,75.7,55018,57980826
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Net self-employment income,5,7,1392440,215860,15.5,20311,4384334
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Investment income,6,8,1392440,516410,37.1,10315,5326520
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Private retirement income,7,9,1392440,36555,2.6,25921,947527
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Market income not included elsewhere,8,10,1392440,165290,11.9,7693,1271549
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Government transfers,9,11,1392440,831765,59.7,4031,3352925
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,1392440,4700,0.3,6869,32248
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,1392440,74100,5.3,7114,527131
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Employment Insurance (EI) benefits,12,14,1392440,111490,8,6952,775042
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Child benefits,13,15,1392440,252385,18.1,4054,1023250
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Other government transfers,14,16,1392440,597740,42.9,1665,995215
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,After-tax income,15,17,1392440,1376105,98.8,43435,59771615
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Total - Sex,1,,Income taxes,16,18,1392440,1071940,77,12587,13492177
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Total income,1,3,671965,665955,99.1,63992,42615927
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Market income,2,4,671970,625450,93.1,66460,41566983
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Employment income,3,5,671965,585860,87.2,64067,37534183
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,"Wages, salaries and commissions",4,6,671965,524850,78.1,66241,34766520
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Net self-employment income,5,7,671965,113990,17,24280,2767626
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Investment income,6,8,671965,244020,36.3,11854,2892684
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Private retirement income,7,9,671965,16590,2.5,31303,519163
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Market income not included elsewhere,8,10,671970,76750,11.4,8091,621017
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Government transfers,9,11,671970,324265,48.3,3234,1048693
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,671970,530,0.1,6488,3439
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,671970,30710,4.6,7430,228170
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Employment Insurance (EI) benefits,12,14,671965,42445,6.3,6041,256392
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Child benefits,13,15,671970,6605,1,3707,24481
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Other government transfers,14,16,671965,286540,42.6,1871,536202
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,After-tax income,15,17,671970,668385,99.5,50464,33729434
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Male,2,,Income taxes,16,18,671965,571125,85,15559,8886291
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Total income,1,3,720475,707525,98.2,43317,30647859
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Market income,2,4,720470,644765,89.5,43960,28343583
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Employment income,3,5,720475,578565,80.3,42918,24830993
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,"Wages, salaries and commissions",4,6,720475,529000,73.4,43883,23214522
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Net self-employment income,5,7,720470,101875,14.1,15869,1616699
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Investment income,6,8,720470,272390,37.8,8935,2433836
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Private retirement income,7,9,720475,19965,2.8,21448,428219
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Market income not included elsewhere,8,10,720475,88540,12.3,7347,650532
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Government transfers,9,11,720475,507500,70.4,4540,2304234
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),10,12,720470,4165,0.6,6917,28844
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,11,13,720470,43390,6,6890,298960
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Employment Insurance (EI) benefits,12,14,720470,69045,9.6,7512,518647
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Child benefits,13,15,720475,245780,34.1,4064,998769
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Other government transfers,14,16,720470,311200,43.2,1475,459014
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,After-tax income,15,17,720470,707720,98.2,36797,26041956
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 64 years,3,,Female,3,,Income taxes,16,18,720475,500815,69.5,9197,4605820
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Total income,1,3,1066150,1053265,98.8,52546,55345017
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Market income,2,4,1066150,977830,91.7,54046,52847984
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Employment income,3,5,1066150,918360,86.1,53014,48685717
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,"Wages, salaries and commissions",4,6,1066155,838170,78.6,54186,45417208
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Net self-employment income,5,7,1066155,165315,15.5,19771,3268434
2016,933,2,Vancouver,5.7,1,59933,2015,1,1,25 to 54 years,4,,Total - Sex,1,,Investment income,6,8,1066155,357480,33.5,9220,3296040
