TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,4,28,5,47,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,5,2,3,27,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,6,21,4,50,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,10,15,7,34,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,4,16,4,3,11XX HAMILTON ST,Central Business District,491162.2843,5458098.755
Break and Enter Commercial,2020,3,25,15,0,11XX HAMILTON ST,Central Business District,491165.4836,5458114.94
Break and Enter Commercial,2020,5,28,5,20,11XX HAMILTON ST,Central Business District,491176.1637,5458125.681
Break and Enter Commercial,2020,9,28,4,30,11XX HAMILTON ST,Central Business District,491176.1637,5458125.681
Break and Enter Commercial,2020,10,27,3,44,11XX HAMILTON ST,Central Business District,491176.1637,5458125.681
Break and Enter Commercial,2020,4,20,4,11,11XX HARO ST,West End,490746.6786,5459115.701
Break and Enter Commercial,2020,7,26,10,2,11XX HARO ST,West End,490746.6786,5459115.701
Break and Enter Commercial,2020,5,1,17,0,11XX HARWOOD ST,West End,490251.8691,5458534.913
Break and Enter Commercial,2020,3,27,6,32,11XX HARWOOD ST,West End,490259.9148,5458514.118
Break and Enter Commercial,2020,9,12,22,3,11XX HOMER ST,Central Business District,491100.1043,5458121.729
Break and Enter Commercial,2020,4,6,1,13,11XX HOMER ST,Central Business District,491106.5262,5458128.117
Break and Enter Commercial,2020,9,12,0,0,11XX HORNBY ST,Central Business District,490705.344,5458446.092
Break and Enter Commercial,2020,6,30,0,0,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2020,8,15,17,27,11XX HORNBY ST,Central Business District,490765.3084,5458508.256
Break and Enter Commercial,2020,6,6,4,0,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,6,22,4,30,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,9,11,5,29,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,11,3,13,40,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,10,13,7,0,11XX HOWE ST,Central Business District,490828.7603,5458434.037
Break and Enter Commercial,2020,10,14,18,0,11XX IRONWORK PASS,Fairview,490578.5063,5457256.791
Break and Enter Commercial,2020,9,23,16,12,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,9,24,8,40,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,9,29,10,38,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,10,30,11,46,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,10,21,1,45,11XX JERVIS ST,West End,490236.5276,5458948.405
Break and Enter Commercial,2020,4,9,3,52,11XX MAIN ST,Central Business District,492719.3168,5457950.087
Break and Enter Commercial,2020,5,10,16,15,11XX MAIN ST,Central Business District,492720.8486,5457994.155
Break and Enter Commercial,2020,10,13,5,0,11XX MAINLAND ST,Central Business District,491157.3109,5458015.942
Break and Enter Commercial,2020,10,9,4,0,11XX MAINLAND ST,Central Business District,491174.587,5458033.058
Break and Enter Commercial,2020,10,9,4,19,11XX MAINLAND ST,Central Business District,491174.587,5458033.058
Break and Enter Commercial,2020,4,9,3,0,11XX MAINLAND ST,Central Business District,491213.501,5458084.484
Break and Enter Commercial,2020,8,2,15,0,11XX MARINASIDE CRES,Central Business District,491334.8654,5457850.523
Break and Enter Commercial,2020,9,19,5,53,11XX MARINASIDE CRES,Central Business District,491334.8654,5457850.523
Break and Enter Commercial,2020,4,3,3,1,11XX MELVILLE ST,Central Business District,491117.6931,5459313.04
Break and Enter Commercial,2020,7,4,8,31,11XX NELSON ST,West End,490616.8269,5458944.34
Break and Enter Commercial,2020,10,21,14,12,11XX NICOLA ST,West End,490118.8007,5459197.354
Break and Enter Commercial,2020,10,4,2,6,11XX PACIFIC ST,West End,490140.9386,5458486.192
Break and Enter Commercial,2020,9,18,16,15,11XX PACIFIC ST,West End,490203.1609,5458410.833
Break and Enter Commercial,2020,3,28,18,0,11XX PENDRELL ST,West End,490428.6068,5458812.516
Break and Enter Commercial,2020,9,24,10,25,11XX PENDRELL ST,West End,490514.5853,5458726.378
Break and Enter Commercial,2020,4,7,4,27,11XX QUEBEC ST,Central Business District,492593.6337,5457991.77
Break and Enter Commercial,2020,9,25,18,47,11XX RICHARDS ST,Central Business District,491058.183,5458236.736
Break and Enter Commercial,2020,7,2,3,52,11XX ROBSON ST,West End,490827.9425,5459187.512
Break and Enter Commercial,2020,8,16,5,35,11XX ROBSON ST,West End,490827.9425,5459187.512
Break and Enter Commercial,2020,6,17,4,0,11XX ROBSON ST,West End,490845.6583,5459182.742
Break and Enter Commercial,2020,7,25,23,8,11XX ROBSON ST,West End,490869.1041,5459159.325
Break and Enter Commercial,2020,5,5,12,0,11XX ROBSON ST,West End,490870.9796,5459157.451
Break and Enter Commercial,2020,3,24,3,19,11XX ROBSON ST,West End,490890.674,5459137.781
Break and Enter Commercial,2020,3,22,5,20,11XX ROBSON ST,West End,490895.466,5459120.071
Break and Enter Commercial,2020,10,16,5,16,11XX ROBSON ST,West End,490909.5334,5459106.02
Break and Enter Commercial,2020,6,26,9,18,11XX SE MARINE DR,Sunset,493932.9192,5450918.861
Break and Enter Commercial,2020,6,26,23,30,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
Break and Enter Commercial,2020,10,11,19,30,11XX SEYMOUR ST,Central Business District,490995.7136,5458309.096
Break and Enter Commercial,2020,10,18,22,0,11XX SEYMOUR ST,Central Business District,490995.7136,5458309.096
Break and Enter Commercial,2020,8,2,1,6,11XX STATION ST,Strathcona,492834.924,5457930.256
Break and Enter Commercial,2020,9,29,11,44,11XX STATION ST,Strathcona,492834.924,5457930.256
Break and Enter Commercial,2020,4,13,23,35,11XX UNION ST,Strathcona,494088.8267,5458285.405
Break and Enter Commercial,2020,9,16,12,29,11XX UNION ST,Strathcona,494153.066,5458283.655
Break and Enter Commercial,2020,3,21,5,21,11XX W 11TH AVE,Fairview,490495.4312,5456538.954
Break and Enter Commercial,2020,4,7,2,30,11XX W 13TH AVE,Fairview,490549.2045,5456327.884
Break and Enter Commercial,2020,9,16,16,43,11XX W 6TH AVE,Fairview,490612.5405,5457034.55
Break and Enter Commercial,2020,8,6,0,30,11XX W 70TH AVE,Marpole,490336.0188,5450647.954
Break and Enter Commercial,2020,8,12,5,0,11XX W 7TH AVE,Fairview,490558.451,5456950.97
Break and Enter Commercial,2020,3,31,23,33,11XX W CORDOVA ST,Central Business District,491131.6171,5459616.129
Break and Enter Commercial,2020,4,8,18,39,11XX W GEORGIA ST,Central Business District,490952.0114,5459324.875
Break and Enter Commercial,2020,3,19,1,53,11XX W GEORGIA ST,West End,490993.2104,5459271.438
Break and Enter Commercial,2020,3,30,20,40,11XX W HASTINGS ST,Central Business District,491219.1519,5459510.167
Break and Enter Commercial,2020,10,29,9,32,11XX W HASTINGS ST,Central Business District,491219.1519,5459510.167
Break and Enter Commercial,2020,10,3,12,22,11XX W PENDER ST,Central Business District,491040.1606,5459519.347
Break and Enter Commercial,2020,4,3,22,30,11XX W PENDER ST,Central Business District,491099.3531,5459482.396
Break and Enter Commercial,2020,6,30,17,30,11XX W PENDER ST,Central Business District,491150.5214,5459459.137
Break and Enter Commercial,2020,3,20,19,30,11XX W PENDER ST,Central Business District,491205.6258,5459434.089
Break and Enter Commercial,2020,7,14,14,53,11XX W PENDER ST,Central Business District,491205.6258,5459434.089
Break and Enter Commercial,2020,10,13,12,1,11XX W PENDER ST,Central Business District,491205.6258,5459434.089
Break and Enter Commercial,2020,9,19,7,22,12XX BARCLAY ST,West End,490567.8497,5459142.598
Break and Enter Commercial,2020,8,10,1,25,12XX BEACH AVE,West End,489972.9505,5458602.039
Break and Enter Commercial,2020,8,11,21,33,12XX BEACH AVE,West End,489972.9505,5458602.039
Break and Enter Commercial,2020,7,18,2,47,12XX BEACH AVE,West End,490014.0418,5458539.232
Break and Enter Commercial,2020,8,23,4,21,12XX BEACH AVE,West End,490014.0418,5458539.232
Break and Enter Commercial,2020,8,24,4,30,12XX BIDWELL ST,West End,489791.0707,5459268.814
Break and Enter Commercial,2020,9,9,5,56,12XX BIDWELL ST,West End,489791.0707,5459268.814
Break and Enter Commercial,2020,7,11,20,28,12XX BURNABY ST,West End,490139.4895,5458787.785
Break and Enter Commercial,2020,10,30,8,53,12XX BURNABY ST,West End,490183.323,5458755.832
Break and Enter Commercial,2020,10,11,5,0,12XX BURNABY ST,West End,490193.3363,5458732.422
Break and Enter Commercial,2020,10,11,10,37,12XX BURNABY ST,West End,490193.3363,5458732.422
Break and Enter Commercial,2020,4,13,3,50,12XX BURRARD ST,Central Business District,490562.8367,5458441.007
Break and Enter Commercial,2020,4,4,8,51,12XX BURRARD ST,West End,490592.6425,5458483.373
Break and Enter Commercial,2020,5,4,0,0,12XX BURRARD ST,West End,490592.6425,5458483.373
Break and Enter Commercial,2020,9,5,0,0,12XX BUTE ST,West End,490268.3421,5458764.88
Break and Enter Commercial,2020,5,29,23,2,12XX BUTE ST,West End,490290.4936,5458774.461
Break and Enter Commercial,2020,9,24,11,57,12XX CARDERO ST,West End,489825.6494,5459086.539
Break and Enter Commercial,2020,7,3,2,0,12XX CARDERO ST,West End,489831.6868,5459079.626
Break and Enter Commercial,2020,9,5,14,20,12XX CARDERO ST,West End,489831.6868,5459079.626
Break and Enter Commercial,2020,9,13,0,0,12XX CARDERO ST,West End,489831.6868,5459079.626
